model,target,return_series,months,mean_period_return,nw_t_mean,annualized_mean_return,annualized_volatility,sharpe_approx,hit_rate,cumulative_return,max_drawdown,max_drawdown_peak_month,max_drawdown_trough_month,avg_turnover_abs_change,avg_turnover_one_way,avg_n_long,avg_n_short
lgbm_all,fwd_ret_1m,gross_dollar_neutral_return,155,0.00697102630209424,5.240384400148573,0.08365231562513088,0.07284679548335218,1.1483321273102274,0.6903225806451613,1.8397551153250213,-0.1101052901601407,2020-03,2020-12,1.218586556214791,0.6092932781073955,367.98709677419356,366.98709677419356
ridge_all,fwd_ret_1m,gross_dollar_neutral_return,155,0.008855396159045188,3.5419062087800404,0.10626475390854226,0.09960323613319205,1.066880535552502,0.6967741935483871,2.680129800397083,-0.2819090686995306,2020-03,2021-01,0.9169321491320268,0.4584660745660134,367.98709677419356,366.98709677419356
lgbm_no_network,fwd_ret_1m,gross_dollar_neutral_return,155,0.007075610210494853,3.7230159576067767,0.08490732252593823,0.08938332590889896,0.9499235082444488,0.6903225806451613,1.8343249325341016,-0.19193210699717078,2020-03,2020-12,1.2118787491161844,0.6059393745580922,367.98709677419356,366.98709677419356
lgbm_network_pressure,fwd_ret_1m,gross_dollar_neutral_return,155,0.001941093688671645,1.5935346556316838,0.023293124264059738,0.061824836185985346,0.3767599835442815,0.5290322580645161,0.3188757822507935,-0.1353267605709112,2022-02,2023-09,1.205903362979116,0.602951681489558,367.98709677419356,366.98709677419356
lgbm_all,fwd_ret_1m,net_return_0bps,155,0.00697102630209424,5.240384400148573,0.08365231562513088,0.07284679548335218,1.1483321273102274,0.6903225806451613,1.8397551153250213,-0.1101052901601407,2020-03,2020-12,1.218586556214791,0.6092932781073955,367.98709677419356,366.98709677419356
ridge_all,fwd_ret_1m,net_return_0bps,155,0.008855396159045188,3.5419062087800404,0.10626475390854226,0.09960323613319205,1.066880535552502,0.6967741935483871,2.680129800397083,-0.2819090686995306,2020-03,2021-01,0.9169321491320268,0.4584660745660134,367.98709677419356,366.98709677419356
lgbm_no_network,fwd_ret_1m,net_return_0bps,155,0.007075610210494853,3.7230159576067767,0.08490732252593823,0.08938332590889896,0.9499235082444488,0.6903225806451613,1.8343249325341016,-0.19193210699717078,2020-03,2020-12,1.2118787491161844,0.6059393745580922,367.98709677419356,366.98709677419356
lgbm_network_pressure,fwd_ret_1m,net_return_0bps,155,0.001941093688671645,1.5935346556316838,0.023293124264059738,0.061824836185985346,0.3767599835442815,0.5290322580645161,0.3188757822507935,-0.1353267605709112,2022-02,2023-09,1.205903362979116,0.602951681489558,367.98709677419356,366.98709677419356
ridge_all,fwd_ret_1m,net_return_10bps,155,0.007938464009913162,3.1892469350375334,0.09526156811895795,0.09940415646999363,0.9583258034860325,0.6709677419354839,2.196770910756554,-0.28818864405621003,2020-03,2021-01,0.9169321491320268,0.4584660745660134,367.98709677419356,366.98709677419356
lgbm_all,fwd_ret_1m,net_return_10bps,155,0.005752439745879449,4.340150947448387,0.06902927695055339,0.07280350241213729,0.948158737745635,0.6645161290322581,1.3536808534991298,-0.12053406363648622,2020-03,2020-12,1.218586556214791,0.6092932781073955,367.98709677419356,366.98709677419356
lgbm_no_network,fwd_ret_1m,net_return_10bps,155,0.005863731461378668,3.0968722371521165,0.07036477753654402,0.08935874033610357,0.7874414665189117,0.6580645161290323,1.3515186402163644,-0.20147180607012272,2020-03,2020-12,1.2118787491161844,0.6059393745580922,367.98709677419356,366.98709677419356
lgbm_network_pressure,fwd_ret_1m,net_return_10bps,155,0.0007351903256925288,0.6077556673823545,0.008822283908310346,0.061696057915790706,0.142995909404,0.4967741935483871,0.09433991933842067,-0.15765852241336753,2022-02,2023-09,1.205903362979116,0.602951681489558,367.98709677419356,366.98709677419356
ridge_all,fwd_ret_1m,net_return_25bps,155,0.0065630657862151215,2.653758475299275,0.07875678943458146,0.09911562667362644,0.7945950812974858,0.6516129032258065,1.5874631880987806,-0.297516278612194,2020-03,2021-01,0.9169321491320268,0.4584660745660134,367.98709677419356,366.98709677419356
lgbm_all,fwd_ret_1m,net_return_25bps,155,0.003924559911557262,2.971911876932307,0.04709471893868715,0.07275917809607589,0.6472684295100236,0.632258064516129,0.7752264137035632,-0.13597497971567718,2020-03,2020-12,1.218586556214791,0.6092932781073955,367.98709677419356,366.98709677419356
lgbm_no_network,fwd_ret_1m,net_return_25bps,155,0.00404591333770439,2.148011127741129,0.048550960052452685,0.08933667235833802,0.5434605831042161,0.6129032258064516,0.7762565630998566,-0.2208242366654295,2019-09,2020-12,1.2118787491161844,0.6059393745580922,367.98709677419356,366.98709677419356
lgbm_network_pressure,fwd_ret_1m,net_return_25bps,155,-0.001073664718776145,-0.8932061949072518,-0.01288397662531374,0.06154626822144922,-0.20933806382794792,0.432258064516129,-0.17324569479182672,-0.22953138363853476,2015-06,2024-10,1.205903362979116,0.602951681489558,367.98709677419356,366.98709677419356
ridge_all,fwd_ret_1m,net_return_50bps,155,0.004270735413385054,1.74462666603541,0.05124882496062065,0.09866190907195738,0.5194388132429426,0.632258064516129,0.8176819697171178,-0.3128205226172929,2020-03,2021-01,0.9169321491320268,0.4584660745660134,367.98709677419356,366.98709677419356
lgbm_all,fwd_ret_1m,net_return_50bps,155,0.0008780935210202852,0.6657264795427851,0.010537122252243424,0.072740374426064,0.14485933479698737,0.567741935483871,0.10809798911797608,-0.16673321917946948,2019-09,2020-12,1.218586556214791,0.6092932781073955,367.98709677419356,366.98709677419356
lgbm_no_network,fwd_ret_1m,net_return_50bps,155,0.0010162164649139293,0.5436983900036233,0.012194597578967152,0.08933941271733381,0.13649740028569868,0.5225806451612903,0.11153507386964412,-0.26424707139044024,2018-11,2021-01,1.2118787491161844,0.6059393745580922,367.98709677419356,366.98709677419356
lgbm_network_pressure,fwd_ret_1m,net_return_50bps,155,-0.004088423126223935,-3.399009230432344,-0.04906107751468722,0.06141315137698435,-0.7988692391557309,0.2967741935483871,-0.4825294906719638,-0.5049404160577295,2012-01,2024-10,1.205903362979116,0.602951681489558,367.98709677419356,366.98709677419356
lgbm_all,fwd_ret_1m,net_return_5bps,155,0.006361733023986844,4.791669408713046,0.07634079628784213,0.07282377602161003,1.0482949451177654,0.6709677419354839,1.585396360403613,-0.11533324125994393,2020-03,2020-12,1.218586556214791,0.6092932781073955,367.98709677419356,366.98709677419356
ridge_all,fwd_ret_1m,net_return_5bps,155,0.008396930084479176,3.366016116576268,0.1007631610137501,0.09950302631023525,1.0126642852005923,0.6774193548387096,2.430004127830121,-0.28505499975532345,2020-03,2021-01,0.9169321491320268,0.4584660745660134,367.98709677419356,366.98709677419356
lgbm_no_network,fwd_ret_1m,net_return_5bps,155,0.006469670835936759,3.410614023936775,0.0776360500312411,0.08937004621971484,0.8687032547837573,0.6709677419354839,1.5817354431651132,-0.1967144921067886,2020-03,2020-12,1.2118787491161844,0.6059393745580922,367.98709677419356,366.98709677419356
lgbm_network_pressure,fwd_ret_1m,net_return_5bps,155,0.0013381420071820868,1.1026543298611882,0.01605770408618504,0.06175756618047863,0.26001193180538307,0.5161290322580645,0.2014100576407558,-0.14656171252113093,2022-02,2023-09,1.205903362979116,0.602951681489558,367.98709677419356,366.98709677419356
lgbm_all,fwd_ret_3m,gross_dollar_neutral_return,153,0.014202280130794272,4.074746916368387,0.05680912052317709,0.06041225401857569,0.9403575722519689,0.6928104575163399,7.0889672234985035,-0.16515325178924567,2020-03,2020-12,0.9503929225909769,0.4751964612954884,363.65359477124184,362.65359477124184
lgbm_no_network,fwd_ret_3m,gross_dollar_neutral_return,153,0.016090604823607406,3.0475330727564733,0.06436241929442962,0.09149099597795536,0.7034836445538057,0.7647058823529411,8.76404547509988,-0.47773808806336404,2020-03,2020-12,1.0011554160105238,0.5005777080052619,363.65359477124184,362.65359477124184
ridge_all,fwd_ret_3m,gross_dollar_neutral_return,153,0.018769487375119232,2.6089829309251207,0.07507794950047693,0.10911179692956892,0.6880827886002038,0.7973856209150327,12.27556701261235,-0.6883804706271602,2020-03,2020-12,0.9399193453576342,0.4699596726788171,363.65359477124184,362.65359477124184
lgbm_network_pressure,fwd_ret_3m,gross_dollar_neutral_return,153,0.0018602892050857316,0.42516915542212314,0.007441156820342926,0.06779919893295704,0.10975287226772523,0.5816993464052288,0.21916975189323207,-0.599310276758583,2022-05,2024-08,1.0745659516959059,0.5372829758479529,363.65359477124184,362.65359477124184
lgbm_all,fwd_ret_3m,net_return_0bps,153,0.014202280130794272,4.074746916368387,0.05680912052317709,0.06041225401857569,0.9403575722519689,0.6928104575163399,7.0889672234985035,-0.16515325178924567,2020-03,2020-12,0.9503929225909769,0.4751964612954884,363.65359477124184,362.65359477124184
lgbm_no_network,fwd_ret_3m,net_return_0bps,153,0.016090604823607406,3.0475330727564733,0.06436241929442962,0.09149099597795536,0.7034836445538057,0.7647058823529411,8.76404547509988,-0.47773808806336404,2020-03,2020-12,1.0011554160105238,0.5005777080052619,363.65359477124184,362.65359477124184
ridge_all,fwd_ret_3m,net_return_0bps,153,0.018769487375119232,2.6089829309251207,0.07507794950047693,0.10911179692956892,0.6880827886002038,0.7973856209150327,12.27556701261235,-0.6883804706271602,2020-03,2020-12,0.9399193453576342,0.4699596726788171,363.65359477124184,362.65359477124184
lgbm_network_pressure,fwd_ret_3m,net_return_0bps,153,0.0018602892050857316,0.42516915542212314,0.007441156820342926,0.06779919893295704,0.10975287226772523,0.5816993464052288,0.21916975189323207,-0.599310276758583,2022-05,2024-08,1.0745659516959059,0.5372829758479529,363.65359477124184,362.65359477124184
lgbm_all,fwd_ret_3m,net_return_10bps,153,0.013251887208203297,3.8070053331386133,0.05300754883281319,0.06037107493878113,0.8780289051762806,0.6862745098039216,6.007723550231098,-0.17349092095973584,2020-03,2020-12,0.9503929225909769,0.4751964612954884,363.65359477124184,362.65359477124184
lgbm_no_network,fwd_ret_3m,net_return_10bps,153,0.015089449407596888,2.862734167140077,0.06035779763038755,0.09140796607920855,0.6603122268149494,0.7450980392156863,7.396180793444657,-0.4834913827150277,2020-03,2020-12,1.0011554160105238,0.5005777080052619,363.65359477124184,362.65359477124184
ridge_all,fwd_ret_3m,net_return_10bps,153,0.0178295680297616,2.47907117818526,0.0713182721190464,0.10906571149228517,0.6539018646945804,0.7843137254901961,10.523711874938751,-0.6912395681652574,2020-03,2020-12,0.9399193453576342,0.4699596726788171,363.65359477124184,362.65359477124184
lgbm_network_pressure,fwd_ret_3m,net_return_10bps,153,0.0007857232533898267,0.17915438842072584,0.003142893013559307,0.06784822573550658,0.04632240533173672,0.5751633986928104,0.034220026586716745,-0.6141023386199801,2022-05,2024-08,1.0745659516959059,0.5372829758479529,363.65359477124184,362.65359477124184
lgbm_all,fwd_ret_3m,net_return_25bps,153,0.011826297824316828,3.4033960879714513,0.04730519129726731,0.06031708034909377,0.7842752172930407,0.6470588235294118,4.649181101915179,-0.18585896432274607,2020-03,2020-12,0.9503929225909769,0.4751964612954884,363.65359477124184,362.65359477124184
ridge_all,fwd_ret_3m,net_return_25bps,153,0.016419689011725146,2.283998596405242,0.06567875604690059,0.10899951569306171,0.6025600722103146,0.7712418300653595,8.31728248242193,-0.6954850618376723,2020-03,2020-12,0.9399193453576342,0.4699596726788171,363.65359477124184,362.65359477124184
lgbm_no_network,fwd_ret_3m,net_return_25bps,153,0.013587716283581096,2.5842178517745595,0.05435086513432438,0.09128693067545406,0.5953849552413385,0.7320261437908496,5.6931884762351475,-0.4920163049707391,2020-03,2020-12,1.0011554160105238,0.5005777080052619,363.65359477124184,362.65359477124184
lgbm_network_pressure,fwd_ret_3m,net_return_25bps,153,-0.0008261256741540318,-0.18762693714750117,-0.003304502696616127,0.06793896158895639,-0.04863928766837791,0.5555555555555556,-0.1922594343235664,-0.6461927549047368,2021-02,2024-08,1.0745659516959059,0.5372829758479529,363.65359477124184,362.65359477124184
lgbm_all,fwd_ret_3m,net_return_50bps,153,0.009450315517839388,2.726082260146752,0.037801262071357554,0.06024787936817182,0.6274289231054243,0.6013071895424836,2.9417205907979604,-0.2147441109538032,2019-07,2020-12,0.9503929225909769,0.4751964612954884,363.65359477124184,362.65359477124184
ridge_all,fwd_ret_3m,net_return_50bps,153,0.014069890648331062,1.9583755630712434,0.05627956259332425,0.1088970246128367,0.5168145116307434,0.7254901960784313,5.53357340555943,-0.7024471440676548,2020-03,2020-12,0.9399193453576342,0.4699596726788171,363.65359477124184,362.65359477124184
lgbm_no_network,fwd_ret_3m,net_return_50bps,153,0.011084827743554787,2.11661909493545,0.04433931097421915,0.09109460460850186,0.48673915611991103,0.7058823529411765,3.583663598912689,-0.5059484081650893,2020-03,2020-12,1.0011554160105238,0.5005777080052619,363.65359477124184,362.65359477124184
lgbm_network_pressure,fwd_ret_3m,net_return_50bps,153,-0.0035125405533937967,-0.7917208405274961,-0.014050162213575187,0.06813582795556918,-0.20620813799660853,0.47058823529411764,-0.46552134210667195,-0.695408725999995,2021-02,2024-08,1.0745659516959059,0.5372829758479529,363.65359477124184,362.65359477124184
lgbm_all,fwd_ret_3m,net_return_5bps,153,0.013727083669498784,3.9410160348191616,0.054908334677995135,0.06039114688121636,0.9092116562382001,0.6862745098039216,6.52909586005998,-0.16933136499055101,2020-03,2020-12,0.9503929225909769,0.4751964612954884,363.65359477124184,362.65359477124184
lgbm_no_network,fwd_ret_3m,net_return_5bps,153,0.015590027115602145,2.9552225494712236,0.06236010846240858,0.09144924748568162,0.6819094763155096,0.7581699346405228,8.05449477991133,-0.4806217765483838,2020-03,2020-12,1.0011554160105238,0.5005777080052619,363.65359477124184,362.65359477124184
ridge_all,fwd_ret_3m,net_return_5bps,153,0.01829952770244042,2.5440411607442224,0.07319811080976169,0.10908855888285102,0.6709971380992238,0.7843137254901961,11.368874932413231,-0.6898129096588255,2020-03,2020-12,0.9399193453576342,0.4699596726788171,363.65359477124184,362.65359477124184
lgbm_network_pressure,fwd_ret_3m,net_return_5bps,153,0.0013230062292377792,0.3020251747917701,0.005292024916951117,0.06782256414521694,0.07802749694954327,0.5816993464052288,0.12292173580407262,-0.6067732229276295,2022-05,2024-08,1.0745659516959059,0.5372829758479529,363.65359477124184,362.65359477124184
