model,target,return_series,n_months,alpha_monthly,alpha_annualized,alpha_t_hac6,r2,beta_mktrf,t_mktrf,beta_smb,t_smb,beta_hml,t_hml,beta_umd,t_umd,beta_rmw,t_rmw,beta_cma,t_cma
lgbm_all,fwd_ret_1m,gross_dollar_neutral_return,155,0.007419508514485,0.0890341021738207,5.020096691862492,0.1630457936662964,-0.0505123957837103,-0.9375499088526992,-0.1326394729220984,-1.7114738408796986,-0.1473252622958117,-1.1653906046403266,-0.0295340324145578,-0.7415405191657494,0.0038402083696052,0.0349681981474662,0.3673641104001526,2.0820003094331248
lgbm_all,fwd_ret_1m,net_return_25bps,155,0.0043432428240601,0.0521189138887213,2.967935949838448,0.1608970548818092,-0.0475663931266806,-0.8825343250796388,-0.1340097401367844,-1.713390081556725,-0.1449328876950411,-1.150716027721271,-0.0282235511590164,-0.710782189284235,0.0010039025234571,0.0091029010164576,0.3662045824994304,2.0817192953536523
lgbm_all,fwd_ret_3m,gross_dollar_neutral_return,153,0.0138125566736569,0.0552502266946278,4.178663462453379,0.0683552616254113,0.033606383416539,0.6319413823118325,-0.159786339226199,-1.3471034643742816,-0.0810920496881353,-0.5987272921567229,0.0524829770095938,0.960539032936063,-0.1191850509781794,-0.7374632941211398,0.3449892291102346,1.58457429872148
lgbm_all,fwd_ret_3m,net_return_25bps,153,0.0114104698419165,0.0456418793676662,3.455919701155523,0.0681037981239102,0.0362709753134406,0.6848450359805572,-0.1613499858053792,-1.351836472907886,-0.0780635144156858,-0.5785244228885885,0.054067214313171,0.9925538152162566,-0.1217793980764895,-0.751512806592665,0.3415025976867124,1.5757932730608224
lgbm_network_pressure,fwd_ret_1m,gross_dollar_neutral_return,155,0.0019150226527699,0.0229802718332391,1.3763777802431023,0.1133476153160668,-0.001501564134031,-0.0345301658847441,-0.0656339848745371,-1.1039056084965666,-0.1688946029958803,-1.41034535962326,0.0162120193557965,0.3589264973706267,-0.0536289607932383,-0.7468311880869007,0.2626939057125057,1.653561399540168
lgbm_network_pressure,fwd_ret_1m,net_return_25bps,155,-0.0011090278697579,-0.0133083344370948,-0.8014076359915742,0.1106948336628361,0.0002889253524363,0.0065815270842603,-0.0704407420190619,-1.1880259943530604,-0.1636752926464203,-1.3852546492182598,0.0154374278110422,0.3410966663705979,-0.05888035063937,-0.8293700615982594,0.2562483768945831,1.6271814135041125
lgbm_network_pressure,fwd_ret_3m,gross_dollar_neutral_return,153,0.0021544282437732,0.0086177129750928,0.4665324871869035,0.081619283452833,0.0180016932066182,0.2400045148411388,-0.0222478128431852,-0.194861280983262,-0.2855671494656543,-1.3116424110105336,0.00470656880275,0.0581496998574177,-0.2619611235171425,-2.400286743751681,0.4883009740433385,1.759110009249035
lgbm_network_pressure,fwd_ret_3m,net_return_25bps,153,-0.000531374999937,-0.0021254999997482,-0.1145838020592316,0.0803183286904187,0.0188084171760337,0.2508090667976446,-0.024207751560914,-0.2135889635558863,-0.2835795441255418,-1.3054256912506417,0.0037450012201399,0.0455601852748173,-0.2656920650737096,-2.4304851787546946,0.4810159888317133,1.7316340036328424
lgbm_no_network,fwd_ret_1m,gross_dollar_neutral_return,155,0.0068442237226275,0.0821306846715311,3.4569292569330434,0.1167511183502307,-0.0055281494672552,-0.0925351418803871,-0.239119151351746,-2.118682350380959,-0.0976693076265296,-0.7729674969207316,-0.0174241600658404,-0.3655657067397421,0.0206574649485266,0.1439115196040284,0.2684800739153991,1.544734854042272
lgbm_no_network,fwd_ret_1m,net_return_25bps,155,0.0037855689047019,0.0454268268564234,1.92291288863755,0.1133978576861125,-0.0029552805497165,-0.0494769291000476,-0.2363632782927302,-2.082737398990251,-0.0958109911754722,-0.7612057986482209,-0.0155586715882989,-0.3275485382836555,0.0203360722735277,0.1412579694752191,0.2645271768079399,1.5256835468695955
lgbm_no_network,fwd_ret_3m,gross_dollar_neutral_return,153,0.0165302946606051,0.0661211786424207,2.930865048178709,0.0997862983480082,-0.0611549259319515,-0.577984330250133,-0.3918536689805011,-1.741832078467649,-0.1243650863211624,-0.5541394840653557,0.064223834870283,0.5377023796292137,-0.1669266771277631,-0.8290974342303887,0.2134254898894554,0.667499317008446
lgbm_no_network,fwd_ret_3m,net_return_25bps,153,0.0140082720602815,0.056033088241126,2.492822868417941,0.0993558113443736,-0.0590448737348199,-0.5593363119618231,-0.3918937823629071,-1.7381194641386064,-0.1203703773361657,-0.5403729382677234,0.0661288080877324,0.5558657968624263,-0.1688370940045667,-0.8385464241215197,0.2129295304964928,0.6699570345328594
ridge_all,fwd_ret_1m,gross_dollar_neutral_return,155,0.0093621695496963,0.1123460345963566,3.995833167957812,0.1408128240557391,-0.0826475939982879,-1.3748507650665494,-0.2587910519168566,-1.7036758834691168,-0.0684210568768189,-0.4424349435829293,-0.0636295548404332,-0.8314518593846483,0.1177701793591292,0.8577563685534108,0.2272849529608512,0.9666201520279982
ridge_all,fwd_ret_1m,net_return_25bps,155,0.0070569562224341,0.0846834746692103,3.054461746516331,0.1406296510008833,-0.0812365575774296,-1.3523687530696056,-0.256806924092361,-1.6942526655917547,-0.0698786838754313,-0.4558240855223978,-0.0628825973827164,-0.8242382402950038,0.1164087626819404,0.8464395293804133,0.2300055002219053,0.9857457287290454
ridge_all,fwd_ret_3m,gross_dollar_neutral_return,153,0.0201495388598277,0.0805981554393111,2.804296207198888,0.1049280235731905,-0.174366353081726,-1.9801265653097924,-0.3406383684581596,-1.1812899996776198,-0.0466806377256053,-0.3195422377076835,0.1555559183823047,0.7759366325927407,-0.054320415685679,-0.3011098196724064,0.0465192540030327,0.1799895276921345
ridge_all,fwd_ret_3m,net_return_25bps,153,0.017787353449533,0.0711494137981322,2.4770013984711894,0.1045530675407157,-0.1730225512076912,-1.9651959888568025,-0.3381328901549236,-1.1736532923658132,-0.0478145272026218,-0.3282053103364181,0.1567191065609665,0.782919188282989,-0.0551157056360538,-0.3055314193638367,0.0484966864220005,0.1883616792782452
